DATE RECORDED,Playlist Position,album.artists,album.name,duration_ms,id,name,popularity,uri
2021-10-10 00:39:51,1,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V""},""href"":""https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V"",""id"":""6eUKZXaKkcviH0Ku9w2n3V"",""name"":""Ed Sheeran"",""type"":""artist"",""uri"":""spotify:artist:6eUKZXaKkcviH0Ku9w2n3V""}]",Shivers,207853,6bQfNiqyCX7UaQSvVVGo4I,Shivers,78,spotify:track:6bQfNiqyCX7UaQSvVVGo4I
2021-10-10 00:39:51,2,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/2tIP7SsRs7vjIcLrU85W8J""},""href"":""https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J"",""id"":""2tIP7SsRs7vjIcLrU85W8J"",""name"":""The Kid LAROI"",""type"":""artist"",""uri"":""spotify:artist:2tIP7SsRs7vjIcLrU85W8J""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s""},""href"":""https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s"",""id"":""1uNFoZAHBGtllmzznpCI3s"",""name"":""Justin Bieber"",""type"":""artist"",""uri"":""spotify:artist:1uNFoZAHBGtllmzznpCI3s""}]",STAY (with Justin Bieber),141805,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),100,spotify:track:5HCyWlXZPP0y6Gqq8TgA20
2021-10-10 00:39:51,3,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU""},""href"":""https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU"",""id"":""4gzpq5DPGxSnKTe4SA8HAU"",""name"":""Coldplay"",""type"":""artist"",""uri"":""spotify:artist:4gzpq5DPGxSnKTe4SA8HAU""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX""},""href"":""https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX"",""id"":""3Nrfpe0tUJi4K4DXYWgMUX"",""name"":""BTS"",""type"":""artist"",""uri"":""spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX""}]",My Universe,228000,3FeVmId7tL5YN8B7R3imoM,My Universe,93,spotify:track:3FeVmId7tL5YN8B7R3imoM
2021-10-10 00:39:52,4,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5""},""href"":""https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5"",""id"":""5cj0lLjcoR7YOSnhnX0Po5"",""name"":""Doja Cat"",""type"":""artist"",""uri"":""spotify:artist:5cj0lLjcoR7YOSnhnX0Po5""}]",Planet Her,172626,6Uj1ctrBOjOas8xZXGqKk4,Woman,96,spotify:track:6Uj1ctrBOjOas8xZXGqKk4
2021-10-10 00:39:52,5,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq""},""href"":""https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq"",""id"":""7jVv8c5Fj3E9VhNjxT4snq"",""name"":""Lil Nas X"",""type"":""artist"",""uri"":""spotify:artist:7jVv8c5Fj3E9VhNjxT4snq""},{""external_urls"":{""spotify"":""https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ""},""href"":""https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ"",""id"":""2LIk90788K0zvyj2JJVwkJ"",""name"":""Jack Harlow"",""type"":""artist"",""uri"":""spotify:artist:2LIk90788K0zvyj2JJVwkJ""}]",INDUSTRY BABY (feat. Jack Harlow),212000,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),98,spotify:track:27NovPIUIRrOZoCHxABJwK
2021-10-10 00:39:52,6,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq""},""href"":""https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq"",""id"":""4yvcSjfu4PC0CYQyLy4wSq"",""name"":""Glass Animals"",""type"":""artist"",""uri"":""spotify:artist:4yvcSjfu4PC0CYQyLy4wSq""}]",Dreamland,238805,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,87,spotify:track:3USxtqRwSYz57Ewm6wWRMp
2021-10-10 00:39:52,7,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V""},""href"":""https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V"",""id"":""6eUKZXaKkcviH0Ku9w2n3V"",""name"":""Ed Sheeran"",""type"":""artist"",""uri"":""spotify:artist:6eUKZXaKkcviH0Ku9w2n3V""}]",Bad Habits,231041,6PQ88X9TkUIAUIZJHW2upE,Bad Habits,97,spotify:track:6PQ88X9TkUIAUIZJHW2upE
2021-10-10 00:39:52,8,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/0lAWpj5szCSwM4rUMHYmrr""},""href"":""https://api.spotify.com/v1/artists/0lAWpj5szCSwM4rUMHYmrr"",""id"":""0lAWpj5szCSwM4rUMHYmrr"",""name"":""Måneskin"",""type"":""artist"",""uri"":""spotify:artist:0lAWpj5szCSwM4rUMHYmrr""}]",Chosen,211560,3Wrjm47oTz2sjIgck11l5e,"Beggin'",96,spotify:track:3Wrjm47oTz2sjIgck11l5e
2021-10-10 00:39:52,9,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq""},""href"":""https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq"",""id"":""7jVv8c5Fj3E9VhNjxT4snq"",""name"":""Lil Nas X"",""type"":""artist"",""uri"":""spotify:artist:7jVv8c5Fj3E9VhNjxT4snq""}]",MONTERO,143901,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,93,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO
2021-10-10 00:39:52,10,"[{""external_urls"":{""spotify"":""https://open.spotify.com/artist/048LktY5zMnakWq7PTtFrz""},""href"":""https://api.spotify.com/v1/artists/048LktY5zMnakWq7PTtFrz"",""id"":""048LktY5zMnakWq7PTtFrz"",""name"":""CKay"",""type"":""artist"",""uri"":""spotify:artist:048LktY5zMnakWq7PTtFrz""}]",CKay The First,145800,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),91,spotify:track:2Xr1dTzJee307rmrkt8c0g
